kuupäev;vooluhulk_m3s;veetase_cm;veetemp_c;valideeritud
2003-01-01;199;88;;jah
2003-01-02;150;71;;jah
2003-01-03;181;83;;jah
2003-01-04;225;101;;jah
2003-01-05;235;104;;jah
2003-01-06;215;96;;jah
2003-01-07;207;94;;jah
2003-01-08;249;113;;jah
2003-01-09;262;117;;jah
2003-01-10;232;105;;jah
2003-01-11;245;113;;jah
2003-01-12;243;111;;jah
2003-01-13;318;135;;jah
2003-01-14;273;121;;jah
2003-01-15;309;132;;jah
2003-01-16;473;163;;jah
2003-01-17;399;149;;jah
2003-01-18;383;148;;jah
2003-01-19;365;145;;jah
2003-01-20;297;129;;jah
2003-01-21;305;134;;jah
2003-01-22;267;123;;jah
2003-01-23;262;123;;jah
2003-01-24;267;124;;jah
2003-01-25;315;137;;jah
2003-01-26;305;133;;jah
2003-01-27;313;136;;jah
2003-01-28;281;127;;jah
2003-01-29;271;125;;jah
2003-01-30;329;139;;jah
2003-01-31;320;133;;jah
2003-02-01;323;132;;jah
2003-02-02;367;133;;jah
2003-02-03;295;119;;jah
2003-02-04;254;103;;jah
2003-02-05;270;108;;jah
2003-02-06;302;115;;jah
2003-02-07;319;117;;jah
2003-02-08;314;110;;jah
2003-02-09;317;107;;jah
2003-02-10;310;105;;jah
2003-02-11;319;108;;jah
2003-02-12;339;114;;jah
2003-02-13;338;113;;jah
2003-02-14;329;113;;jah
2003-02-15;241;90;;jah
2003-02-16;300;110;;jah
2003-02-17;317;107;;jah
2003-02-18;328;111;;jah
2003-02-19;314;106;;jah
2003-02-20;306;104;;jah
2003-02-21;299;102;;jah
2003-02-22;292;100;;jah
2003-02-23;275;95;;jah
2003-02-24;253;88;;jah
2003-02-25;271;95;;jah
2003-02-26;262;92;;jah
2003-02-27;204;75;;jah
2003-02-28;255;92;;jah
2003-03-01;176;60;;jah
2003-03-02;207;77;;jah
2003-03-03;226;81;;jah
2003-03-04;268;95;;jah
2003-03-05;244;85;;jah
2003-03-06;251;89;;jah
2003-03-07;225;82;;jah
2003-03-08;165;63;;jah
2003-03-09;186;70;;jah
2003-03-10;214;78;;jah
2003-03-11;265;94;;jah
2003-03-12;277;96;;jah
2003-03-13;284;98;;jah
2003-03-14;288;99;;jah
2003-03-15;297;102;;jah
2003-03-16;286;98;;jah
2003-03-17;293;101;;jah
2003-03-18;310;106;;jah
2003-03-19;326;111;;jah
2003-03-20;295;100;;jah
2003-03-21;314;108;;jah
2003-03-22;280;100;;jah
2003-03-23;243;96;;jah
2003-03-24;247;109;;jah
2003-03-25;217;106;;jah
2003-03-26;189;102;;jah
2003-03-27;176;102;;jah
2003-03-28;174;102;;jah
2003-03-29;227;101;;jah
2003-03-30;321;109;;jah
2003-03-31;419;119;;jah
2003-04-01;392;127;;jah
2003-04-02;398;126;;jah
2003-04-03;394;125;;jah
2003-04-04;520;137;;jah
2003-04-05;433;132;;jah
2003-04-06;318;103;;jah
2003-04-07;335;113;;jah
2003-04-08;367;122;;jah
2003-04-09;284;94;;jah
2003-04-10;319;110;;jah
2003-04-11;278;94;;jah
2003-04-12;300;103;;jah
2003-04-13;351;118;;jah
2003-04-14;350;116;;jah
2003-04-15;329;110;;jah
2003-04-16;311;105;;jah
2003-04-17;324;110;;jah
2003-04-18;319;108;;jah
2003-04-19;292;99;;jah
2003-04-20;288;99;;jah
2003-04-21;300;103;;jah
2003-04-22;302;103;;jah
2003-04-23;290;99;;jah
2003-04-24;295;101;;jah
2003-04-25;325;111;;jah
2003-04-26;293;101;;jah
2003-04-27;232;88;;jah
2003-04-28;299;104;;jah
2003-04-29;313;106;;jah
2003-04-30;354;121;;jah
2003-05-01;331;104;;jah
2003-05-02;536;140;;jah
2003-05-03;367;116;;jah
2003-05-04;391;126;;jah
2003-05-05;372;121;;jah
2003-05-06;354;116;;jah
2003-05-07;433;134;;jah
2003-05-08;402;126;;jah
2003-05-09;392;125;;jah
2003-05-10;397;126;;jah
2003-05-11;391;125;;jah
2003-05-12;357;117;;jah
2003-05-13;344;114;;jah
2003-05-14;366;121;;jah
2003-05-15;358;117;;jah
2003-05-16;431;133;;jah
2003-05-17;483;140;;jah
2003-05-18;433;131;;jah
2003-05-19;400;126;;jah
2003-05-20;370;120;;jah
2003-05-21;409;129;;jah
2003-05-22;404;127;;jah
2003-05-23;398;126;;jah
2003-05-24;407;128;;jah
2003-05-25;370;120;;jah
2003-05-26;374;122;;jah
2003-05-27;432;133;;jah
2003-05-28;450;135;;jah
2003-05-29;430;131;;jah
2003-05-30;421;130;;jah
2003-05-31;382;125;;jah
2003-06-01;380;128;;jah
2003-06-02;363;122;;jah
2003-06-03;316;113;;jah
2003-06-04;352;117;;jah
2003-06-05;358;118;;jah
2003-06-06;404;128;;jah
2003-06-07;414;129;;jah
2003-06-08;389;124;;jah
2003-06-09;385;123;;jah
2003-06-10;520;147;;jah
2003-06-11;409;125;;jah
2003-06-12;419;130;;jah
2003-06-13;456;136;;jah
2003-06-14;468;137;;jah
2003-06-15;506;143;;jah
2003-06-16;486;139;;jah
2003-06-17;474;138;;jah
2003-06-18;432;131;;jah
2003-06-19;417;129;;jah
2003-06-20;418;129;;jah
2003-06-21;497;142;;jah
2003-06-22;563;151;;jah
2003-06-23;517;143;;jah
2003-06-24;466;136;;jah
2003-06-25;469;137;;jah
2003-06-26;573;146;;jah
2003-06-27;501;141;;jah
2003-06-28;470;137;;jah
2003-06-29;437;132;;jah
2003-06-30;408;129;;jah
2003-07-01;381;126;;jah
2003-07-02;370;120;;jah
2003-07-03;399;127;;jah
2003-07-04;388;124;;jah
2003-07-05;408;128;;jah
2003-07-06;449;135;;jah
2003-07-07;485;140;;jah
2003-07-08;476;138;;jah
2003-07-09;455;135;;jah
2003-07-10;462;136;;jah
2003-07-11;617;150;;jah
2003-07-12;478;137;;jah
2003-07-13;475;138;;jah
2003-07-14;487;140;;jah
2003-07-15;456;135;;jah
2003-07-16;424;130;;jah
2003-07-17;385;123;;jah
2003-07-18;404;128;;jah
2003-07-19;353;115;;jah
2003-07-20;360;119;;jah
2003-07-21;364;120;;jah
2003-07-22;351;116;;jah
2003-07-23;353;117;;jah
2003-07-24;364;120;;jah
2003-07-25;364;120;;jah
2003-07-26;329;112;;jah
2003-07-27;299;108;;jah
2003-07-28;323;109;;jah
2003-07-29;347;116;;jah
2003-07-30;356;118;;jah
2003-07-31;323;110;;jah
2003-08-01;309;109;;jah
2003-08-02;311;105;;jah
2003-08-03;317;107;;jah
2003-08-04;368;122;;jah
2003-08-05;401;127;;jah
2003-08-06;442;134;;jah
2003-08-07;477;139;;jah
2003-08-08;454;135;;jah
2003-08-09;386;123;;jah
2003-08-10;343;113;;jah
2003-08-11;348;116;;jah
2003-08-12;329;113;;jah
2003-08-13;313;111;;jah
2003-08-14;374;123;;jah
2003-08-15;397;126;;jah
2003-08-16;440;134;;jah
2003-08-17;458;136;;jah
2003-08-18;440;133;;jah
2003-08-19;403;126;;jah
2003-08-20;432;132;;jah
2003-08-21;516;145;;jah
2003-08-22;502;141;;jah
2003-08-23;530;146;;jah
2003-08-24;529;145;;jah
2003-08-25;562;150;;jah
2003-08-26;600;156;;jah
2003-08-27;495;138;;jah
2003-08-28;692;161;;jah
2003-08-29;621;158;;jah
2003-08-30;448;130;;jah
2003-08-31;552;153;;jah
2003-09-01;595;151;;jah
2003-09-02;506;141;;jah
2003-09-03;517;144;;jah
2003-09-04;520;144;;jah
2003-09-05;524;145;;jah
2003-09-06;466;136;;jah
2003-09-07;420;129;;jah
2003-09-08;399;126;;jah
2003-09-09;366;122;;jah
2003-09-10;337;117;;jah
2003-09-11;353;117;;jah
2003-09-12;358;117;;jah
2003-09-13;494;143;;jah
2003-09-14;476;138;;jah
2003-09-15;372;117;;jah
2003-09-16;512;146;;jah
2003-09-17;468;136;;jah
2003-09-18;438;132;;jah
2003-09-19;501;143;;jah
2003-09-20;443;132;;jah
2003-09-21;457;136;;jah
2003-09-22;453;135;;jah
2003-09-23;432;131;;jah
2003-09-24;505;143;;jah
2003-09-25;578;153;;jah
2003-09-26;557;149;;jah
2003-09-27;444;131;;jah
2003-09-28;511;144;;jah
2003-09-29;556;150;;jah
2003-09-30;446;133;;jah
2003-10-01;488;144;;jah
2003-10-02;428;129;;jah
2003-10-03;453;136;;jah
2003-10-04;390;123;;jah
2003-10-05;438;134;;jah
2003-10-06;441;132;;jah
2003-10-07;642;164;;jah
2003-10-08;659;163;;jah
2003-10-09;557;147;;jah
2003-10-10;603;156;;jah
2003-10-11;688;164;;jah
2003-10-12;734;170;;jah
2003-10-13;647;160;;jah
2003-10-14;625;158;;jah
2003-10-15;610;156;;jah
2003-10-16;599;154;;jah
2003-10-17;685;168;;jah
2003-10-18;622;157;;jah
2003-10-19;497;139;;jah
2003-10-20;474;138;;jah
2003-10-21;404;127;;jah
2003-10-22;354;123;;jah
2003-10-23;372;121;;jah
2003-10-24;434;133;;jah
2003-10-25;514;145;;jah
2003-10-26;423;128;;jah
2003-10-27;445;134;;jah
2003-10-28;556;151;;jah
2003-10-29;523;144;;jah
2003-10-30;441;132;;jah
2003-10-31;379;123;;jah
2003-11-01;347;120;;jah
2003-11-02;328;117;;jah
2003-11-03;403;128;;jah
2003-11-04;416;129;;jah
2003-11-05;475;139;;jah
2003-11-06;471;137;;jah
2003-11-07;511;144;;jah
2003-11-08;430;130;;jah
2003-11-09;351;114;;jah
2003-11-10;356;118;;jah
2003-11-11;383;124;;jah
2003-11-12;406;128;;jah
2003-11-13;387;124;;jah
2003-11-14;357;117;;jah
2003-11-15;366;121;;jah
2003-11-16;332;110;;jah
2003-11-17;365;121;;jah
2003-11-18;378;123;;jah
2003-11-19;381;123;;jah
2003-11-20;438;134;;jah
2003-11-21;432;132;;jah
2003-11-22;351;114;;jah
2003-11-23;308;102;;jah
2003-11-24;488;138;;jah
2003-11-25;527;142;;jah
2003-11-26;373;118;;jah
2003-11-27;338;112;;jah
2003-11-28;376;123;;jah
2003-11-29;421;131;;jah
2003-11-30;396;126;;jah
2003-12-01;359;123;;jah
2003-12-02;348;122;;jah
2003-12-03;427;132;;jah
2003-12-04;433;132;;jah
2003-12-05;431;148;;jah
2003-12-06;427;131;;jah
2003-12-07;425;169;;jah
2003-12-08;422;181;;jah
2003-12-09;419;151;;jah
2003-12-10;416;146;;jah
2003-12-11;412;148;;jah
2003-12-12;409;159;;jah
2003-12-13;406;167;;jah
2003-12-14;404;127;;jah
2003-12-15;412;145;;jah
2003-12-16;425;157;;jah
2003-12-17;435;175;;jah
2003-12-18;452;152;;jah
2003-12-19;468;170;;jah
2003-12-20;484;166;;jah
2003-12-21;497;141;;jah
2003-12-22;502;145;;jah
2003-12-23;508;183;;jah
2003-12-24;515;175;;jah
2003-12-25;522;194;;jah
2003-12-26;528;179;;jah
2003-12-27;535;168;;jah
2003-12-28;541;189;;jah
2003-12-29;548;173;;jah
2003-12-30;555;176;;jah
2003-12-31;561;162;;jah
2004-01-01;524;146;;jah
2004-01-02;427;132;;jah
2004-01-03;392;142;;jah
2004-01-04;365;154;;jah
2004-01-05;339;154;;jah
2004-01-06;314;146;;jah
